Wellenlänge,Intensität,x,y,z,CMF(x),CMF(y),CMF(z)
380,49.9755,0.0002,0.0,0.0007,0.0099951,0.0,0.034982849999999996
385,52.3118,0.0007,0.0001,0.0029,0.03661826,0.00523118,0.15170421999999997
390,54.6482,0.0024,0.0003,0.0105,0.13115568,0.01639446,0.5738061000000001
395,68.7015,0.0072,0.0008,0.0323,0.49465079999999995,0.0549612,2.21905845
400,82.7549,0.0191,0.002,0.086,1.58061859,0.1655098,7.1169214
405,87.1204,0.0434,0.0045,0.1971,3.78102536,0.3920418,17.17143084
410,91.486,0.0847,0.0088,0.3894,7.7488642,0.8050768,35.624648400000005
415,92.4589,0.1406,0.0145,0.6568,12.99972134,1.3406540500000002,60.727005520000006
420,93.4318,0.2045,0.0214,0.9725,19.106803099999997,1.9994405199999998,90.8624255
425,90.057,0.2647,0.0295,1.2825,23.8380879,2.6566815,115.4981025
430,86.6823,0.3147,0.0387,1.5535,27.278919809999998,3.3546050099999998,134.66095305000002
435,95.7736,0.3577,0.0496,1.7985,34.25821672,4.75037056,172.2488196
440,104.865,0.3837,0.0621,1.9673,40.2367005,6.5121165,206.3009145
445,110.936,0.3687,0.0747,2.0273,40.902103200000006,8.286919200000002,224.9005528
450,117.008,0.3707,0.0895,1.9948,43.37486559999999,10.472216,233.40755839999997
455,117.41,0.343,0.1063,1.9007,40.27163,12.480683,223.161187
460,117.812,0.3023,0.1282,1.7454,35.6145676,15.103498400000001,205.6290648
465,116.336,0.2541,0.1528,1.5549,29.560977599999998,17.7761408,180.8908464
470,114.861,0.1956,0.1852,1.3176,22.4668116,21.272257200000002,151.34085360000003
475,115.392,0.1323,0.2199,1.0302,15.2663616,25.3747008,118.8768384
480,115.923,0.0805,0.2536,0.7721,9.331801500000001,29.398072799999998,89.5041483
485,112.367,0.0411,0.2977,0.5701,4.6182837,33.451655900000006,64.06042670000001
490,108.811,0.0162,0.3391,0.4153,1.7627382,36.8978101,45.189208300000004
495,109.082,0.0051,0.3954,0.3024,0.5563182,43.1310228,32.9863968
500,109.354,0.0038,0.4608,0.2185,0.4155452,50.3903232,23.893849
505,108.578,0.0154,0.5314,0.1592,1.6721012000000002,57.6983492,17.285617600000002
510,107.802,0.0375,0.6067,0.112,4.042575,65.40347340000001,12.073824000000002
515,106.296,0.0714,0.6857,0.0822,7.589534400000001,72.88716720000001,8.7375312
