Wellenlänge,Intensität,x,y,z,X,Y,Z
380,49.9755,0.0042,0.0001,0.0201,0.20989709999999998,0.00499755,1.00450755
385,52.3118,0.0076,0.0002,0.0362,0.39756968,0.01046236,1.89368716
390,54.6482,0.0143,0.0004,0.0679,0.78146926,0.021859280000000002,3.7106127800000004
395,68.7015,0.0232,0.0006,0.1102,1.5938747999999998,0.04122089999999999,7.5709053
400,82.7549,0.0435,0.0012,0.2074,3.59983815,0.09930588,17.16336626
405,87.1204,0.0776,0.0022,0.3713,6.760543040000001,0.19166488,32.347804520000004
410,91.486,0.1344,0.004,0.6456,12.2957184,0.36594400000000005,59.0633616
415,92.4589,0.2148,0.0073,1.0391,19.86017172,0.67494997,96.07404299
420,93.4318,0.2839,0.0116,1.3856,26.525288019999998,1.0838088799999999,129.45910207999998
425,90.057,0.3285,0.0618,1.623,29.583724500000002,5.5655226,146.162511
430,86.6823,0.3483,0.023,1.7471,30.19144509,1.9936928999999999,151.44264633
435,95.7736,0.3481,0.0298,1.7826,33.33879016,2.85405328,170.72601936
440,104.865,0.3362,0.038,1.7721,35.255613,3.98487,185.8312665
445,110.936,0.3187,0.048,1.7441,35.3553032,5.324928000000001,193.48347760000001
450,117.008,0.2908,0.06,1.6692,34.025926399999996,7.020479999999999,195.3097536
455,117.41,0.2511,0.0739,1.5281,29.481651,8.676599,179.414221
460,117.812,0.1954,0.091,1.2876,23.0204648,10.720892,151.6947312
465,116.336,0.1421,0.1126,1.0419,16.5313456,13.099433600000001,121.2104784
470,114.861,0.0956,0.139,0.813,10.980711600000001,15.965679000000002,93.381993
475,115.392,0.058,0.1693,0.6162,6.692736,19.5358656,71.1045504
480,115.923,0.032,0.208,0.4652,3.709536,24.111984,53.9273796
485,112.367,0.0147,0.2586,0.3533,1.6517949,29.0581062,39.6992611
490,108.811,0.0049,0.323,0.272,0.5331739,35.145953000000006,29.596592000000005
495,109.082,0.0024,0.4073,0.2123,0.26179679999999994,44.429098599999996,23.1581086
500,109.354,0.0093,0.503,0.1582,1.0169922,55.005062,17.299802800000002
505,108.578,0.0291,0.6082,0.1117,3.1596198,66.0371396,12.1281626
510,107.802,0.0633,0.71,0.0782,6.8238666,76.53942,8.430116400000001
